,Year,Week,Player,Position,Injury,Practice Status,Game Status
148,2004,16,Robert Ferguson,WR,Head,,Out
149,2004,16,James Lee,DT,Knee,,Out
150,2004,16,Kevin Barry,T,Thigh,,Questionable
151,2004,16,Ralph Brown,CB,Face,,Out
152,2004,16,DeLawrence Grant,LB,Knee,,Questionable
153,2004,16,Charles Woodson,CB,Knee,,Doubtful
154,2004,16,Tyrone Wheatley,RB,Hamstring,,Out
155,2004,16,Barry Sims,T,Back,,Questionable
156,2004,16,Tyler Brayton,DE,Neck,,Doubtful
157,2004,16,Ron Stone,G,Knee,,Out
158,2004,16,Sam Williams,LB,Ankle,,Doubtful
159,2004,16,Courtney Anderson,TE,Knee,,Doubtful
160,2004,16,Phillip Buchanon,CB,Back,,Doubtful
161,2004,16,Johnnie Morton,WR,Knee,,Doubtful
162,2004,16,Derrick Blaylock,RB,Knee,,Questionable
163,2004,16,Jerome Woods,S,Knee,,Doubtful
164,2004,16,Chris Horn,WR,Knee,,Questionable
165,2004,16,Chris Bober,C,Foot,,Questionable
166,2004,16,Vonnie Holliday,DE,Groin,,Out
167,2004,16,Trevor Pryce,DE,Back,,Questionable
168,2004,16,Dan Neil,G,Abdomen,,Questionable
169,2004,16,Sam Brandon,S,Ankle,,Questionable
170,2004,16,Cooper Carlisle,G,Ankle,,Questionable
171,2004,16,Kyle Johnson,RB,Ankle,,Doubtful
172,2004,16,Carlos Hall,DE,Knee,,Questionable
173,2004,16,Samari Rolle,CB,Knee,,Out
174,2004,16,Andre Woolfolk,CB,Wrist,,Out
175,2004,16,Chris Brown,RB,Foot,,Out
176,2004,16,Benji Olson,G,Foot,,Questionable
177,2004,16,Jason Mathews,T,Back,,Questionable
178,2004,16,Erron Kinney,TE,Ankle,,Questionable
179,2004,16,Lance Schulters,S,Foot,,Out
180,2004,16,Steve McNair,QB,Other,,Questionable
181,2004,16,Rocky Boiman,LB,Lower leg,,Questionable
182,2004,16,Justin Hartwig,C,Hand,,Questionable
183,2004,16,Albert Haynesworth,DT,Elbow,,Questionable
184,2004,16,Brad Hopkins,T,Hand,,Questionable
185,2004,16,Shad Meier,TE,Hip,,Questionable
186,2004,16,Derrick Mason,WR,Ankle,,Questionable
187,2004,16,Cody Spencer,LB,Abdomen,,Questionable
188,2004,16,Rich Gardner,CB,Foot,,Questionable
189,2004,16,Fred Miller,T,Ankle,,Questionable
190,2005,1,Doug Gabriel,WR,Hand,,Out
191,2005,1,Justin Fargas,RB,Knee,,Questionable
192,2005,1,Jerry Porter,WR,Hamstring,,Questionable
193,2005,1,Jarvis Green,DE,Thigh,,Questionable
194,2005,1,James Sanders,S,Ankle,,Questionable
195,2005,1,Brandon Gorin,T,Thigh,,Questionable
196,2005,1,Tully Banta-Cain,LB,Knee,,Questionable
197,2005,1,Andre Davis,WR,Foot,,Questionable
198,2005,1,Duane Starks,CB,Thigh,,Questionable
199,2005,1,David Givens,WR,Chest,,Questionable
200,2005,1,Dan Klecko,DT,Knee,,Questionable
201,2005,1,Bethel Johnson,WR,Thigh,,Questionable
202,2005,7,Dexter McCleon,CB,Groin,,Questionable
203,2005,7,Samie Parker,WR,Knee,,Questionable
204,2005,7,Ryan Sims,DT,Foot,,Out
205,2005,7,Junior Seau,LB,Lower leg,,Questionable
206,2005,7,Jason Taylor,DE,Foot,,Questionable
207,2005,12,Tatum Bell,RB,Chest,,Questionable
208,2005,12,Patrick Crayton,WR,Ankle,,Questionable
209,2005,12,Brady Smith,DE,Foot,,Questionable
210,2005,12,Jeff Garcia,QB,Lower leg,,Questionable
211,2005,12,Boss Bailey,LB,Ankle,,Questionable
212,2005,12,Earl Holmes,LB,Knee,,Doubtful
213,2005,15,Anthony McFarland,DT,Hamstring,,Doubtful
214,2005,15,Marquis Cooper,LB,Chest,,Questionable
215,2005,15,Benjamin Watson,TE,Head,,Questionable
216,2005,15,Tom Brady,QB,Shoulder,,Questionable
217,2005,15,Patrick Pass,RB,Hamstring,,Questionable
218,2005,15,Artrell Hawkins,S,Thigh,,Questionable
219,2005,15,Corey Dillon,RB,Lower leg,,Questionable
220,2005,15,Heath Evans,RB,Shoulder,,Questionable
221,2005,15,Matt Light,T,Ankle,,Doubtful
222,2005,15,Kevin Faulk,RB,Foot,,Questionable
223,2005,15,Michael Stone,S,Ankle,,Questionable
224,2005,15,Tom Ashworth,T,Knee,,Questionable
225,2005,15,Nick Kaczur,T,Shoulder,,Questionable
226,2005,15,Daniel Graham,TE,Shoulder,,Questionable
227,2005,15,Bethel Johnson,WR,Other,,Questionable
228,2005,15,Carlos Hall,DE,Neck,,Questionable
229,2005,15,Jerome Woods,S,Hamstring,,Questionable
230,2005,15,Shawn Barber,LB,Hamstring,,Questionable
231,2005,15,William Joseph,DT,Ankle,,Out
232,2005,15,Antonio Pierce,LB,Ankle,,Out
233,2005,15,Kareem McKenzie,T,Hamstring,,Questionable
234,2005,15,Jamaar Taylor,WR,Knee,,Out
235,2005,15,Luke Petitgout,T,Back,,Questionable
236,2005,15,Cornell Green,T,Shoulder,,Questionable
237,2005,15,Darrent Williams,CB,Groin,,Out
238,2005,15,Lauvale Sape,DT,Ankle,,Doubtful
239,2005,15,Mike Williams,T,Chest,,Questionable
240,2005,15,J.P. Losman,QB,Shoulder,,Questionable
241,2005,16,Marco Rivera,G,Neck,,Questionable
242,2005,16,Corey Simon,DT,Foot,,Questionable
243,2005,16,Gerome Sapp,S,Back,,Questionable
244,2005,16,Ryan Diem,T,Face,,Out
245,2005,16,Montae Reagor,DT,Knee,,Questionable
246,2005,16,Robert Mathis,DE,Foot,,Doubtful
247,2005,16,Bob Sanders,S,Back,,Questionable
248,2005,16,Marvin Harrison,WR,Hand,,Questionable
249,2005,16,Cato June,LB,Ankle,,Doubtful
250,2005,16,Cato June,LB,Groin,,Doubtful
251,2005,16,Chartric Darby,DT,Knee,,Questionable
252,2005,16,Darrell Jackson,WR,Knee,,Questionable
253,2005,16,Kelly Herndon,CB,Knee,,Out
254,2005,16,Andre Dyson,CB,Ankle,,Out
255,2005,16,John Howell,S,Hamstring,,Questionable
256,2005,16,Allen Rossum,CB,Knee,,Questionable
257,2005,16,Keion Carpenter,S,Thigh,,Questionable
258,2005,16,Kynan Forney,G,Neck,,Questionable
259,2005,16,Antwan Lake,DT,Shoulder,,Questionable
260,2005,16,Scott Jackson,C,Other,,Out
261,2005,16,Anthony Becht,TE,Ankle,,Questionable
262,2005,16,Ryan Neufeld,TE,Knee,,Out
263,2005,16,Reggie Kelly,TE,Wrist,,Questionable
264,2005,16,Bryan Robinson,DT,Foot,,Out
265,2005,16,Chris Perry,RB,Ankle,,Out
266,2005,16,Carl Powell,DE,Neck,,Out
267,2005,16,Odell Thurman,LB,Neck,,Questionable
268,2005,16,Marcus Wilkins,LB,Hand,,Questionable
269,2005,16,Jim Finn,RB,Ankle,,Questionable
270,2005,16,Carlos Emmons,LB,Chest,,Doubtful
271,2005,16,Reggie Torbor,LB,Lower leg,,Questionable
272,2005,16,Carlos Rogers,CB,Bicep,,Questionable
273,2005,16,LaVar Arrington,LB,Thigh,,Questionable
274,2005,16,Andre Woolfolk,CB,Ankle,,Questionable
275,2005,16,Chris Brown,RB,Shoulder,,Questionable
276,2005,16,Jarrett Payton,RB,Back,,Questionable
277,2005,16,Erron Kinney,TE,Knee,,Questionable
278,2005,16,Zach Piller,G,Shoulder,,Questionable
279,2005,16,Drew Bennett,WR,Knee,,Questionable
280,2005,16,Travis Henry,RB,Ankle,,Questionable
281,2005,16,Rob Reynolds,LB,Ankle,,Questionable
282,2005,16,Ronnie Brown,RB,Knee,,Questionable
283,2005,16,Channing Crowder,LB,Shoulder,,Questionable
284,2005,16,Gus Frerotte,QB,Hand,,Questionable
285,2005,16,Wes Welker,WR,Thigh,,Questionable
286,2005,16,Ahmed Plummer,CB,Ankle,,Out
287,2005,16,Frank Gore,RB,Shoulder,,Questionable
288,2005,16,Chris Claiborne,LB,Knee,,Out
289,2005,16,Marc Bulger,QB,Shoulder,,Out
290,2005,16,Travis Kirschke,DE,Back,,Questionable
291,2005,16,Andre Frazier,LB,Hamstring,,Doubtful
292,2005,16,Orpheus Roye,DE,Knee,,Questionable
293,2005,16,Ray Mickens,CB,Groin,,Questionable
294,2005,16,Kevin Jones,RB,Elbow,,Questionable
295,2005,16,Nate Wayne,LB,Ankle,,Questionable
296,2005,16,Wayne Gandy,T,Lower leg,,Questionable
297,2005,16,Jermane Mayberry,G,Elbow,,Questionable
298,2005,16,Kendyl Jacox,G,Knee,,Questionable
299,2005,16,Az-Zahir Hakim,WR,Hip,,Questionable
300,2005,16,LeCharles Bentley,C,Elbow,,Questionable
301,2005,16,Sedrick Hodge,LB,Ankle,,Questionable
302,2005,16,Darren Howard,DE,Knee,,Out
303,2005,16,Byron Leftwich,QB,Ankle,,Out
304,2005,16,Rich Alexis,RB,Groin,,Questionable
305,2005,16,Junior Ioane,DE,Lower leg,,Doubtful
306,2005,16,Domanick Williams,RB,Knee,,Questionable
307,2005,16,Frank Chamberlin,LB,Hamstring,,Questionable
308,2005,16,Charles Woodson,CB,Lower leg,,Out
309,2005,16,Jake Grove,C,Knee,,Doubtful
310,2005,16,LaMont Jordan,RB,Foot,,Doubtful
311,2005,16,Courtney Anderson,TE,Knee,,Doubtful
312,2005,16,Lamar Gordon,RB,Ankle,,Questionable
313,2005,16,Sheldon Brown,CB,Knee,,Questionable
314,2005,16,Lamont Reid,CB,Knee,,Doubtful
315,2005,16,Antrel Rolle,CB,Knee,,Doubtful
316,2005,16,Darnell Dockett,DT,Ankle,,Questionable
317,2005,16,Terrence Kiel,S,Ankle,,Out
318,2005,16,Matt Wilhelm,LB,Shoulder,,Questionable
319,2005,16,LaDainian Tomlinson,RB,Chest,,Questionable
320,2005,16,Bhawoh Jue,S,Knee,,Questionable
321,2005,16,Eric Parker,WR,Foot,,Questionable
322,2005,16,Kris Wilson,TE,Thigh,,Questionable
323,2005,16,Eddie Kennison,WR,Knee,,Questionable
324,2005,16,Eric Hicks,DE,Shoulder,,Questionable
325,2006,1,Joe Berger,G,Foot,,Out
326,2006,1,Travis Daniels,CB,Ankle,,Doubtful
327,2006,1,Ben Roethlisberger,QB,Other,,Out
328,2006,1,Jerame Tuman,TE,Hamstring,,Doubtful
329,2006,12,Jeno James,G,Knee,,Out
330,2006,12,Travares Tillman,S,Hand,,Out
331,2006,12,Will Allen,CB,Groin,,Questionable
332,2006,12,Daunte Culpepper,QB,Knee,,Out
333,2006,12,Kevin Jones,RB,Ankle,,Questionable
334,2006,12,Kenoy Kennedy,S,Ankle,,Questionable
335,2006,12,Blaine Saipaia,G,Chest,,Questionable
336,2006,12,Devale Ellis,WR,Shoulder,,Questionable
337,2006,12,Shaun Cody,DT,Foot,,Doubtful
338,2006,12,Eddie Drummond,WR,Concussion,,Questionable
339,2006,12,Simeon Rice,DE,Shoulder,,Out
340,2006,12,Juran Bolden,CB,Lower leg,,Questionable
341,2006,12,Anthony Davis,T,Ankle,,Questionable
342,2006,12,Michael Pittman,RB,Shoulder,,Questionable
343,2006,12,Shelton Quarles,LB,Knee,,Questionable
344,2006,12,Ellis Wyms,DT,Ankle,,Doubtful
345,2006,12,Alex Smith,TE,Ankle,,Doubtful
346,2006,12,Nick Ferguson,S,Knee,,Out
347,2006,12,Cooper Carlisle,G,Back,,Questionable
348,2006,12,Darrent Williams,CB,Shoulder,,Questionable
349,2006,12,Derrick Johnson,LB,Ankle,,Questionable
350,2006,12,Kevin Sampson,T,Foot,,Out
351,2006,12,Tony Gonzalez,TE,Shoulder,,Questionable
352,2006,13,Daniel Wilcox,TE,Thigh,,Questionable
353,2006,13,Keydrick Vincent,G,Hip,,Questionable
354,2006,13,Dan Cody,LB,Knee,,Out
355,2006,13,Todd Heap,TE,Back,,Questionable
356,2006,13,Jamal Lewis,RB,Foot,,Questionable
357,2006,13,Adalius Thomas,LB,Ankle,,Questionable
358,2006,13,Justin Bannan,DT,Foot,,Out
359,2006,13,Rich Braham,C,Knee,,Questionable
360,2006,13,Kelley Washington,WR,Hamstring,,Questionable
361,2006,13,Bobbie Williams,G,Other,,Out
362,2006,13,Levi Jones,T,Knee,,Out
363,2006,13,John Thornton,DT,Knee,,Doubtful
364,2006,13,Deltha O'Neal,CB,Shoulder,,Questionable
365,2006,13,Tony Stewart,TE,Hip,,Questionable
366,2006,14,Justin Hamilton,S,Back,,Questionable
367,2006,14,Orpheus Roye,DE,Knee,,Out
368,2006,14,Kellen Winslow,TE,Knee,,Questionable
369,2006,14,Jereme Perry,CB,Knee,,Questionable
370,2006,14,Mason Unck,LB,Groin,,Questionable
371,2006,14,Charlie Frye,QB,Wrist,,Questionable
372,2006,14,Troy Polamalu,S,Knee,,Out
373,2006,14,Ryan Clark,S,Groin,,Out
374,2006,14,Cedrick Wilson,WR,Ankle,,Out
375,2006,14,Hines Ward,WR,Knee,,Out
376,2006,15,Eric Johnson,TE,Knee,,Out
377,2006,15,Adam Snyder,T,Knee,,Out
378,2006,15,Jeff Ulbrich,LB,Foot,,Questionable
379,2006,15,Derek M. Smith,LB,Hamstring,,Out
380,2006,15,Itula Mili,TE,Concussion,,Out
381,2006,15,Darrell Jackson,WR,Foot,,Out
382,2006,15,Rocky Bernard,DT,Foot,,Questionable
383,2006,15,Robbie Tobeck,C,Hip,,Out
384,2006,15,Floyd Womack,G,Groin,,Questionable
385,2006,15,Oliver Hoyte,RB,Knee,,Questionable
386,2006,15,Jerious Norwood,RB,Knee,,Questionable
387,2006,15,Warrick Dunn,RB,Lower leg,,Questionable
388,2006,15,Jason Webster,CB,Groin,,Questionable
389,2006,16,Cedric Griffin,CB,Neck,,Doubtful
390,2006,16,Brooks Bollinger,QB,Shoulder,,Questionable
391,2006,16,Abdul Hodge,LB,Shoulder,,Questionable
392,2006,16,David Martin,TE,Rib,,Questionable
393,2006,16,Atari Bigby,S,Hamstring,,Questionable
394,2006,16,Mark Tauscher,T,Groin,,Questionable
395,2006,16,Ruvell Martin,WR,Chest,,Questionable
396,2006,16,Rich Scanlon,LB,Neck,,Out
397,2006,16,Michael Bennett,RB,Ankle,,Questionable
398,2006,16,Jimmy Wilkerson,DE,Hamstring,,Out
399,2006,16,Kyle Turley,T,Shoulder,,Out
400,2006,16,Fabian Washington,CB,Shoulder,,Questionable
401,2006,16,Zack Crockett,RB,Lower leg,,Questionable
402,2006,16,Corey Hulsey,G,Knee,,Questionable
403,2006,16,Robert Gallery,T,Elbow,,Questionable
404,2006,16,Randy Moss,WR,Ankle,,Questionable
405,2006,16,Jerry Porter,WR,Hip,,Doubtful
406,2007,1,Mark Campbell,TE,Back,,Out
407,2007,1,Dylan Gandy,C,Groin,Did Not Participate In Practice,Questionable
408,2007,1,Charlie Johnson,T,Knee,Did Not Participate In Practice,Out
409,2007,1,Tim Jennings,CB,Knee,Did Not Participate In Practice,Out
410,2007,12,Eric Smith,S,Concussion,Limited Participation in Practice,Questionable
411,2007,12,Dewayne Robertson,DT,Knee,Limited Participation in Practice,Questionable
412,2007,12,Laveranues Coles,WR,Ankle,Limited Participation in Practice,Questionable
413,2007,12,Patrick Crayton,WR,Ankle,Did Not Participate In Practice,Questionable
414,2007,12,Terry Glenn,WR,Knee,,Out
415,2007,12,Daniel Federkeil,T,Concussion,Did Not Participate In Practice,Out
416,2007,12,Tyjuan Hagler,LB,Neck,Limited Participation in Practice,Questionable
417,2007,12,Matt Giordano,CB,Hamstring,Did Not Participate In Practice,Questionable
418,2007,12,Ryan Diem,T,Ankle,Did Not Participate In Practice,Questionable
419,2007,12,Tony Ugoh,T,Neck,,Questionable
420,2007,12,Marvin Harrison,WR,Knee,Did Not Participate In Practice,Out
421,2007,12,Tim Jennings,CB,Lower leg,Did Not Participate In Practice,Questionable
422,2007,12,Dwayne Blakley,TE,Concussion,Did Not Participate In Practice,Doubtful
423,2007,12,Todd Weiner,T,Knee,Did Not Participate In Practice,Doubtful
424,2007,12,Byron Leftwich,QB,Back,Did Not Participate In Practice,Doubtful
425,2007,12,Joe Horn,WR,Hamstring,Did Not Participate In Practice,Doubtful
426,2007,12,Johnny Jolly,DT,Shoulder,,Out
427,2007,12,Nick Collins,S,Knee,,Out
428,2007,12,Bubba Franks,TE,Knee,,Out
429,2007,12,Will Blackmon,CB,Foot,,Out
430,2007,12,Ikaika Alama-Francis,DE,Hamstring,Did Not Participate In Practice,Doubtful
431,2007,12,Teddy Lehman,LB,Foot,Full Participation in Practice,Questionable
432,2007,13,Aaron Rouse,S,Knee,Limited Participation in Practice,Questionable
433,2007,13,Charles Woodson,CB,Foot,Limited Participation in Practice,Questionable
434,2007,13,Kabeer Gbaja-Biamila,DE,Ankle,Limited Participation in Practice,Questionable
435,2007,14,Anthony Adams,DT,Elbow,,Out
436,2007,14,Nathan Vasher,CB,Groin,Did Not Participate In Practice,Doubtful
437,2007,14,James Thrash,WR,Ankle,,Out
438,2007,14,Shawn Springs,CB,Back,,Questionable
439,2007,15,Nick Ferguson,S,Knee,Did Not Participate In Practice,Out
440,2007,15,Brandon Stokley,WR,Knee,Did Not Participate In Practice,Questionable
441,2007,15,Javon Walker,WR,Knee,Full Participation in Practice,Questionable
442,2007,15,Kasey Studdard,G,Neck,Full Participation in Practice,Questionable
443,2007,15,DeMeco Ryans,LB,Knee,Limited Participation in Practice,Questionable
444,2007,15,Matt Schaub,QB,Shoulder,Did Not Participate In Practice,Out
445,2007,15,Ron Dayne,RB,Ankle,Did Not Participate In Practice,Questionable
446,2007,15,Willie Anderson,T,Knee,Did Not Participate In Practice,Out
447,2007,15,Jeff Ulbrich,LB,Ankle,Did Not Participate In Practice,Questionable
448,2007,15,Marcus Hudson,CB,Knee,,Out
449,2007,15,Shawntae Spencer,CB,Thigh,Did Not Participate In Practice,Out
450,2007,15,Trent Dilfer,QB,Concussion,,Out
451,2007,16,Andre Frazier,LB,Groin,Limited Participation in Practice,Questionable
452,2007,16,Clark Haggans,LB,Knee,Full Participation in Practice,Questionable
453,2007,16,Clint Kriewaldt,LB,Neck,Did Not Participate In Practice,Out
454,2007,16,Marvel Smith,T,Back,Did Not Participate In Practice,Out
455,2007,16,Brian Leonard,RB,Head,Full Participation in Practice,Questionable
456,2007,16,Travis Minor,RB,Ankle,,Out
457,2007,16,Eric Bassey,CB,Knee,Limited Participation in Practice,Questionable
458,2007,16,Andre Gurode,C,Knee,Did Not Participate In Practice,Out
459,2007,16,Pat Watkins,CB,Ankle,Did Not Participate In Practice,Out
460,2007,16,Julius Peppers,DE,Knee,Did Not Participate In Practice,Doubtful
461,2007,16,Keary Colbert,WR,Knee,Did Not Participate In Practice,Out
462,2008,1,Malcolm Kelly,WR,Knee,,Out
463,2008,1,Kareem Moore,S,Hamstring,Did Not Participate In Practice,Doubtful
464,2008,1,Jason Taylor,DE,Knee,Limited Participation in Practice,Questionable
465,2008,1,Domenik Hixon,WR,Back,Limited Participation in Practice,Questionable
466,2008,1,Jonathan Goff,LB,Back,,Out
467,2008,1,Terrell Thomas,CB,Hamstring,,Out
468,2008,1,Lawrence Tynes,K,Knee,,Out
469,2008,1,Donnie Avery,WR,Knee,Did Not Participate In Practice,Out
470,2008,1,Kevin Curtis,WR,Other,,Out
471,2008,1,Reggie Brown,WR,Hamstring,Did Not Participate In Practice,Doubtful
472,2008,1,Victor Abiamiri,DE,Wrist,,Out
473,2008,1,Deion Branch,WR,Knee,Limited Participation in Practice,Out
474,2008,1,Sean Locklear,T,Knee,Did Not Participate In Practice,Doubtful
